Cluster,C1,priv_veh,sum,c1,c2,c3,c4
c1,0.88
c1,c2,0.95
c3,0.8
c3,c1,0.95
c3,c2,0.94
c3,c2,c1,0.93
c4,0.8
c4,c1,0.8
c4,c2,0.9
c4,c1,c2,0.95
c2,0.99
c4,c3,0.8
c4,c3,c1,0.95
c4,c3,c2,0.94
c4,c3,c2,c1,0.93
Cluster,C2,pub_veh,sum,c5,c6,c7,c8
c5,0.8
c6,0.9
c6,c5,0.8
c7,0.9
c7,c5,0.8
c7,c6,0.9
c7,c6,c5,0.8
c8,0.9
c8,c5,0.8
c8,c6,0.9
c8,c6,c5,0.8
c8,c7,0.9
c8,c7,c5,0.8
c8,c7,c6,0.9
c8,c7,c6,c5,0.8
